Roll_Number,Student_Name,Attendance_Percentage,Quiz_Marks,Assignment_Marks,Midterm_Marks,Final_Marks,Result,Risk_Level
STU16030,Hassan Mahmood,80.0,20.0,17.0,30.0,30.0,Pass,Low Risk
STU35470,Umair Qureshi,51.0,16.0,13.0,18.0,21.0,Pass,Medium Risk
STU23382,Yumna Niazi,88.0,20.0,20.0,26.0,29.0,Pass,Low Risk
STU15322,Zubair Butt,75.0,20.0,17.0,25.0,29.0,Pass,Low Risk
STU03776,Javeria Mirza,64.0,15.0,13.0,16.0,15.0,Pass,Medium Risk
STU63913,Rida Warraich,78.0,17.0,15.0,24.0,20.0,Pass,Low Risk
STU51029,Bisma Rind,75.0,18.0,15.0,23.0,23.0,Pass,Low Risk
STU11841,Naveed Baig,65.0,17.0,14.0,16.0,20.0,Pass,Medium Risk
STU43348,Farhan Sabir,70.0,11.0,9.0,19.0,18.0,Fail,Medium Risk
STU59929,Mariam Pasha,81.0,18.0,15.0,30.0,22.0,Pass,Low Risk
STU68750,Kashif Junejo,90.0,17.0,19.0,24.0,22.0,Pass,Low Risk
STU42654,Bilal Rind,100.0,20.0,15.0,30.0,30.0,Pass,Low Risk
STU97707,Jawad Qureshi,91.0,17.0,18.0,29.0,27.0,Pass,Low Risk
STU01066,Rashid Ansari,82.0,15.0,20.0,30.0,28.0,Pass,Low Risk
STU28613,Eman Baig,91.0,19.0,15.0,21.0,22.0,Pass,Low Risk
STU17592,Unknown Student,74.0,12.0,16.0,20.0,20.0,Pass,Medium Risk
STU19274,Farhan Siddiqui,66.0,18.0,16.0,25.0,20.0,Pass,Low Risk
STU93325,Owais Mirza,91.0,20.0,19.0,30.0,30.0,Pass,Low Risk
STU17781,Zeeshan Hussain,100.0,18.0,20.0,30.0,24.0,Pass,Low Risk
STU39526,Asif Mirza,77.0,18.0,14.0,21.0,21.0,Pass,Low Risk
STU44657,Tariq Abbasi,71.0,13.0,15.0,17.0,16.0,Pass,Medium Risk
STU89949,Mahnoor Butt,60.0,8.0,15.0,13.0,12.0,Fail,Medium Risk
STU62748,Kamran Qureshi,82.0,12.0,18.0,21.0,26.0,Pass,Low Risk
STU61792,Alishba Rana,64.0,19.0,15.0,21.0,24.0,Pass,Low Risk
STU37850,Umair Dar,61.0,5.0,14.0,20.0,16.0,Pass,Medium Risk
STU56213,Areeba Javed,60.0,11.0,11.0,13.0,15.0,Fail,Medium Risk
STU94455,Ghulam Sabir,84.0,13.0,17.0,17.0,18.0,Pass,Medium Risk
STU16321,Palwasha Siddiqui,95.0,20.0,19.0,29.0,19.0,Pass,Low Risk
STU60737,Dua Abbasi,85.0,20.0,18.0,22.0,30.0,Pass,Low Risk
STU44765,Kamran Malik,81.0,11.0,12.0,22.0,18.0,Pass,Medium Risk
STU50110,Jawad Pervez,74.0,18.0,18.0,28.0,25.0,Pass,Low Risk
STU06196,Omar Gill,75.0,18.0,19.0,21.0,19.0,Pass,Low Risk
STU33572,Palwasha Tanveer,76.0,16.0,14.0,22.0,22.0,Pass,Low Risk
STU60524,Salman Niazi,40.0,6.0,9.0,14.0,7.0,Fail,High Risk
STU75513,Wajeeha Soomro,87.0,20.0,16.0,20.0,23.0,Pass,Low Risk
STU92159,Aiman Rashid,51.0,8.0,7.0,10.0,18.0,Fail,High Risk
STU07146,Yousuf Ansari,75.0,17.0,16.0,19.0,17.0,Pass,Low Risk
STU92964,Abdullah Javed,58.0,12.0,8.0,20.0,15.0,Fail,Medium Risk
STU83339,Naveed Marwat,43.0,8.0,9.0,7.0,16.0,Fail,High Risk
STU33321,Javeria Orakzai,56.0,6.0,12.0,14.0,14.0,Fail,High Risk
STU27191,Junaid Pasha,98.0,13.0,18.0,28.0,27.0,Pass,Low Risk
STU42522,Maria Tanveer,63.0,14.0,12.0,21.0,22.0,Pass,Medium Risk
STU26544,Adnan Hameed,66.0,18.0,13.0,18.0,17.0,Pass,Medium Risk
STU56600,Raheel Hashmi,78.0,15.0,15.0,24.0,21.0,Pass,Low Risk
STU85994,Yasir Tanveer,88.0,1.0,0.0,8.0,1.0,Fail,High Risk
STU44195,Zaid Khan,74.0,13.0,13.0,21.0,25.0,Pass,Low Risk
STU84295,Kiran Cheema,76.0,14.0,20.0,25.0,30.0,Pass,Low Risk
STU32965,Rukhsar Malik,95.0,20.0,20.0,29.0,30.0,Pass,Low Risk
STU58169,Javeria Effendi,78.0,16.0,17.0,27.0,26.0,Pass,Low Risk
STU20614,Javeria Hussain,69.0,19.0,17.0,30.0,27.0,Pass,Low Risk
STU53291,Fiza Mahmood,53.0,15.0,10.0,8.0,6.0,Fail,High Risk
STU77049,Yasir Raza,77.0,8.0,10.0,15.0,17.0,Pass,Medium Risk
STU97831,Iqra Soomro,72.0,16.0,19.0,20.0,24.0,Pass,Low Risk
STU25155,Farhan Raza,75.0,12.0,15.0,24.0,18.0,Pass,Low Risk
STU80477,Alishba Yousaf,75.0,16.0,19.0,30.0,23.0,Pass,Low Risk
STU99230,Adeel Hashmi,45.0,15.0,6.0,15.0,15.0,Fail,Medium Risk
STU09873,Mishal Dar,66.0,10.0,7.0,26.0,24.0,Pass,Medium Risk
STU72250,Moiz Talpur,44.0,20.0,20.0,27.0,30.0,Pass,Low Risk
STU89464,Kiran Chaudhry,73.0,18.0,16.0,25.0,24.0,Pass,Low Risk
STU40576,Laiba Malik,90.0,17.0,18.0,29.0,30.0,Pass,Low Risk
STU96844,Sundas Yousaf,68.0,18.0,18.0,25.0,18.0,Pass,Low Risk
STU53186,Unknown Student,71.0,17.0,13.0,20.0,25.0,Pass,Low Risk
STU30589,Kashif Qazi,45.0,8.0,10.0,15.0,11.0,Fail,High Risk
STU06608,Hamza Malik,74.0,20.0,20.0,28.0,27.0,Pass,Low Risk
STU79342,Sadia Yousaf,75.0,12.0,9.0,21.0,21.0,Pass,Medium Risk
STU33390,Imran Sabir,82.0,12.0,13.0,19.0,17.0,Pass,Medium Risk
STU19636,Nimra Sabir,66.0,13.0,13.0,26.0,20.0,Pass,Low Risk
STU87371,Moiz Pervez,60.0,13.0,11.0,25.0,21.0,Pass,Medium Risk
STU80510,Mishal Abbasi,90.0,11.0,16.0,18.0,28.0,Fail,Low Risk
STU26370,Zara Cheema,75.0,11.0,13.0,14.0,9.0,Fail,Medium Risk
STU25282,Talha Ali,75.0,16.0,12.0,22.0,28.0,Pass,Low Risk
STU97251,Saba Ansari,85.0,20.0,13.0,30.0,28.0,Pass,Low Risk
STU93185,Palwasha Pervez,71.0,14.0,7.0,17.0,9.0,Fail,Medium Risk
STU70833,Shoaib Saeed,91.0,18.0,18.0,24.0,22.0,Pass,Low Risk
STU90513,Daniyal Abbasi,78.0,19.0,16.0,27.0,30.0,Pass,Low Risk
STU-25617,Aiman Jafri,67.0,17.0,13.0,21.0,24.0,Pass,Low Risk
STU37299,Zainab Javed,83.0,15.0,18.0,28.0,30.0,Pass,Low Risk
STU76289,Lubna Niazi,48.0,12.0,10.0,26.0,22.0,Pass,Medium Risk
STU28000,Fawad Karim,59.0,6.0,9.0,13.0,14.0,Fail,High Risk
STU89670,Sohail Mirza,93.0,20.0,17.0,22.0,30.0,Pass,Low Risk
STU57774,Sohail Cheema,75.0,19.0,20.0,24.0,24.0,Pass,Low Risk
STU51417,Mishal Raza,47.0,12.0,12.0,14.0,23.0,Pass,Medium Risk
STU99599,Farah Gill,76.0,19.0,20.0,23.0,21.0,Pass,Low Risk
STU94922,Sara Talpur,100.0,17.0,17.0,26.0,26.0,Pass,Low Risk
STU29922,Areeba Yousaf,63.0,13.0,12.0,19.0,22.0,Pass,Medium Risk
STU72696,Usman Niazi,55.0,11.0,12.0,16.0,21.0,Pass,Medium Risk
STU14668,Rukhsar Ghori,100.0,14.0,18.0,24.0,28.0,Fail,Low Risk
STU97625,Zubair Rind,59.0,13.0,17.0,15.0,23.0,Pass,Medium Risk
STU28687,Haris Pasha,59.0,15.0,7.0,17.0,17.0,Fail,Medium Risk
STU22907,Hassan Yousafzai,79.0,15.0,19.0,22.0,27.0,Pass,Low Risk
STU27487,Wajeeha Iqbal,72.0,18.0,11.0,24.0,18.0,Pass,Low Risk
STU56789,Rimsha Waheed,84.0,19.0,14.0,22.0,20.0,Pass,Low Risk
STU75551,Kashif Bajwa,47.0,8.0,8.0,13.0,19.0,Fail,High Risk
STU31129,Hamid Javed,60.0,11.0,13.0,17.0,14.0,Pass,Medium Risk
STU13571,Raheel Rind,54.0,7.0,6.0,20.0,19.0,Fail,Medium Risk
STU04362,Talha Awan,75.0,12.0,14.0,22.0,24.0,Pass,Low Risk
STU56942,Qasim Ali,92.0,14.0,18.0,25.0,29.0,Pass,Low Risk
STU46923,Fajar Bajwa,75.0,19.0,13.0,24.0,30.0,Pass,Low Risk
STU59422,Zaid Yousaf,72.0,14.0,17.0,20.0,24.0,Pass,Low Risk
STU67961,Waqar Chaudhry,92.0,19.0,19.0,30.0,30.0,Pass,Low Risk
STU17554,Nimra Nawaz,89.0,20.0,17.0,22.0,26.0,Pass,Low Risk
STU36528,Anum Warraich,54.0,11.0,10.0,19.0,11.0,Fail,Medium Risk
STU14349,Fajar Mahmood,70.0,17.0,16.0,27.0,25.0,Pass,Low Risk
STU86834,Tahira Saeed,56.0,11.0,11.0,17.0,20.0,Pass,Medium Risk
STU01439,Zainab Abbasi,85.0,19.0,17.0,20.0,27.0,Pass,Low Risk
STU-54076,Alishba Qazi,75.0,11.0,16.0,15.0,21.0,Pass,Medium Risk
STU35800,Hamza Iqbal,65.0,14.0,12.0,18.0,19.0,Pass,Medium Risk
STU85315,Saba Kiani,81.0,15.0,16.0,26.0,20.0,Pass,Low Risk
STU25451,Mishal Nawaz,77.0,13.0,15.0,21.0,21.0,Pass,Low Risk
STU73392,Komal Awan,76.0,11.0,13.0,16.0,15.0,Pass,Medium Risk
STU09172,Mohsin Qazi,74.0,17.0,15.0,15.0,22.0,Pass,Low Risk
STU88861,Ali Rashid,77.0,16.0,12.0,19.0,21.0,Pass,Low Risk
STU21015,Zaid Rana,51.0,12.0,14.0,17.0,11.0,Fail,Medium Risk
STU91547,Adeel Orakzai,75.0,12.0,15.0,19.0,24.0,Pass,Medium Risk
STU99367,Owais Lodhi,74.0,11.0,11.0,18.0,16.0,Fail,Medium Risk
STU72442,Noman Waheed,78.0,11.0,16.0,23.0,29.0,Pass,Low Risk
STU89401,Farhan Rind,83.0,16.0,12.0,22.0,24.0,Pass,Low Risk
STU33262,Shahzad Raza,57.0,10.0,14.0,16.0,15.0,Fail,Medium Risk
STU73803,Kiran Ahmed,75.0,15.0,20.0,30.0,30.0,Pass,Low Risk
STU83781,Sobia Bajwa,75.0,11.0,11.0,23.0,14.0,Pass,Medium Risk
STU66770,Sara Karim,70.0,10.0,10.0,18.0,17.0,Pass,Medium Risk
STU35434,Moiz Rind,49.0,14.0,14.0,21.0,20.0,Pass,Medium Risk
STU87647,Javeria Jafri,84.0,20.0,17.0,27.0,27.0,Pass,Low Risk
STU16651,Wajeeha Awan,92.0,15.0,20.0,30.0,30.0,Pass,Low Risk
STU27198,Hira Junejo,80.0,20.0,19.0,30.0,30.0,Pass,Low Risk
STU38945,Eman Ali,60.0,14.0,17.0,24.0,28.0,Pass,Low Risk
STU29004,Owais Sheikh,74.0,16.0,12.0,23.0,24.0,Pass,Low Risk
STU54706,Saad Waheed,56.0,20.0,20.0,23.0,27.0,Pass,Low Risk
STU67921,Rabia Ali,75.0,1.0,0.0,22.0,7.0,Fail,High Risk
STU11925,Shoaib Bhatti,81.0,15.0,10.0,18.0,16.0,Pass,Medium Risk
STU54286,Mishal Dar,56.0,12.0,11.0,12.0,17.0,Fail,Medium Risk
STU98929,Sohail Nawaz,68.0,8.0,13.0,10.0,23.0,Pass,Medium Risk
STU84537,Bushra Dar,47.0,8.0,8.0,8.0,18.0,Fail,High Risk
STU64804,Nasir Soomro,56.0,12.0,9.0,22.0,12.0,Fail,Medium Risk
STU65426,Amal Ahmed,95.0,16.0,19.0,30.0,30.0,Pass,Low Risk
STU03967,Eman Karim,40.0,5.0,8.0,9.0,9.0,Fail,High Risk
STU81141,Maria Effendi,100.0,20.0,18.0,29.0,27.0,Pass,Low Risk
STU88490,Hira Hussain,78.0,20.0,19.0,30.0,30.0,Pass,Low Risk
STU03766,Sami Dar,88.0,20.0,14.0,23.0,21.0,Pass,Low Risk
STU71855,Jawad Junejo,56.0,8.0,15.0,16.0,21.0,Pass,Medium Risk
STU19309,Yasir Ansari,56.0,17.0,8.0,20.0,19.0,Pass,Medium Risk
STU28077,Naveed Orakzai,76.0,18.0,12.0,25.0,21.0,Pass,Low Risk
STU03883,Unknown Student,78.0,18.0,18.0,30.0,30.0,Pass,Low Risk
STU20559,Rashid Leghari,67.0,16.0,15.0,16.0,25.0,Pass,Medium Risk
STU44472,Sami Durrani,83.0,15.0,14.0,30.0,16.0,Pass,Low Risk
STU28143,Nasir Karim,81.0,17.0,15.0,24.0,27.0,Pass,Low Risk
STU62591,Adnan Lodhi,77.0,15.0,14.0,22.0,16.0,Pass,Low Risk
STU25504,Ghulam Lodhi,55.0,7.0,6.0,9.0,10.0,Fail,High Risk
STU80110,Salman Abbasi,74.0,17.0,12.0,16.0,21.0,Pass,Medium Risk
STU73553,Rimsha Niazi,75.0,19.0,20.0,26.0,30.0,Pass,Low Risk
STU69380,Quratulain Hashmi,51.0,15.0,10.0,14.0,18.0,Pass,Medium Risk
STU23515,Luqman Effendi,97.0,16.0,20.0,27.0,26.0,Pass,Low Risk
STU33701,Mehak Cheema,56.0,11.0,12.0,17.0,15.0,Pass,Medium Risk
STU39134,Gulnaz Karim,68.0,9.0,7.0,11.0,16.0,Fail,High Risk
STU47951,Aiman Marwat,47.0,16.0,8.0,25.0,24.0,Pass,Medium Risk
STU76973,Fajar Rind,69.0,12.0,11.0,17.0,14.0,Fail,Medium Risk
STU61780,Zeeshan Rashid,78.0,20.0,20.0,30.0,30.0,Pass,Low Risk
STU14593,Umair Rind,61.0,7.0,6.0,10.0,7.0,Fail,High Risk
STU95356,Yumna Cheema,40.0,4.0,3.0,22.0,5.0,Fail,High Risk
STU80774,Wasi Junejo,90.0,8.0,7.0,22.0,3.0,Fail,Medium Risk
STU99614,Anas Mahmood,61.0,17.0,17.0,28.0,23.0,Pass,Low Risk
STU89984,Amina Waheed,85.0,20.0,20.0,30.0,30.0,Pass,Low Risk
STU09131,Zain Mahmood,75.0,20.0,17.0,27.0,26.0,Pass,Low Risk
STU02529,Quratulain Kiani,89.0,20.0,18.0,30.0,29.0,Pass,Low Risk
STU91487,Hira Rind,63.0,15.0,18.0,27.0,21.0,Pass,Low Risk
STU13290,Saba Pervez,71.0,12.0,10.0,15.0,19.0,Pass,Medium Risk
STU77546,Ali Abbasi,44.0,8.0,11.0,14.0,7.0,Fail,High Risk
STU11748,Naveed Ghori,81.0,17.0,19.0,23.0,30.0,Pass,Low Risk
STU73662,Anas Sheikh,68.0,10.0,18.0,13.0,20.0,Pass,Medium Risk
STU51726,Qasim Sheikh,55.0,10.0,10.0,8.0,22.0,Fail,High Risk
STU72555,Farah Tanveer,94.0,6.0,4.0,22.0,5.0,Fail,Medium Risk
STU90396,Umair Ansari,74.0,11.0,14.0,24.0,14.0,Pass,Medium Risk
STU40557,Abdullah Malik,57.0,9.0,11.0,22.0,17.0,Fail,Medium Risk
STU78985,Anas Warraich,75.0,1.0,3.0,8.0,12.0,Fail,High Risk
STU83131,Usman Karim,83.0,20.0,20.0,27.0,24.0,Pass,Low Risk
STU23889,Nasir Siddiqui,89.0,17.0,16.0,23.0,30.0,Pass,Low Risk
STU44819,Zara Bajwa,77.0,14.0,12.0,25.0,20.0,Pass,Low Risk
STU13101,Danish Malik,78.0,10.0,7.0,14.0,15.0,Fail,Medium Risk
STU95130,Sohail Yousafzai,74.0,15.0,11.0,16.0,20.0,Pass,Medium Risk
STU32462,Komal Durrani,71.0,15.0,12.0,28.0,30.0,Pass,Low Risk
STU91235,Jawad Khan,92.0,16.0,19.0,27.0,28.0,Pass,Low Risk
STU21906,Jawad Ansari,96.0,18.0,15.0,25.0,26.0,Pass,Low Risk
STU35891,Javeria Chaudhry,55.0,20.0,20.0,30.0,30.0,Pass,Low Risk
STU21471,Amber Yousaf,67.0,14.0,17.0,17.0,19.0,Pass,Medium Risk
STU68890,Aamir Hussain,86.0,17.0,17.0,21.0,24.0,Pass,Low Risk
STU79535,Yasir Chaudhry,64.0,13.0,12.0,23.0,22.0,Pass,Medium Risk
STU10465,Komal Warraich,66.0,5.0,13.0,13.0,19.0,Fail,Medium Risk
STU57782,Adnan Butt,68.0,15.0,12.0,20.0,23.0,Fail,Medium Risk
STU46565,Amber Marwat,41.0,19.0,20.0,30.0,25.0,Pass,Low Risk
STU22635,Asif Dar,100.0,18.0,17.0,30.0,28.0,Pass,Low Risk
STU74238,Fahad Yousaf,84.0,15.0,18.0,29.0,28.0,Pass,Low Risk
STU81171,Bushra Yousafzai,82.0,20.0,16.0,30.0,28.0,Pass,Low Risk
STU09974,Laiba Khan,74.0,5.0,7.0,10.0,12.0,Fail,High Risk
STU75390,Rizwan Qureshi,86.0,15.0,20.0,28.0,29.0,Pass,Low Risk
STU20761,Amina Warraich,72.0,18.0,16.0,30.0,27.0,Pass,Low Risk
STU98381,Unknown Student,58.0,11.0,6.0,8.0,18.0,Fail,High Risk
STU23239,Uzma Rashid,82.0,14.0,13.0,22.0,25.0,Fail,Low Risk
STU35792,Fiza Mahmood,87.0,7.0,7.0,17.0,11.0,Fail,Medium Risk
STU92504,Mariam Pervez,87.0,14.0,18.0,27.0,26.0,Pass,Low Risk
STU41725,Kiran Iqbal,80.0,15.0,16.0,28.0,17.0,Pass,Low Risk
STU05731,Naveed Farooq,93.0,19.0,20.0,26.0,22.0,Pass,Low Risk
STU36699,Aamir Raza,40.0,6.0,11.0,8.0,19.0,Fail,High Risk
STU33732,Mariam Farooq,81.0,17.0,12.0,20.0,19.0,Pass,Low Risk
STU99773,Unknown Student,84.0,17.0,16.0,29.0,30.0,Pass,Low Risk
STU94393,Unknown Student,65.0,13.0,12.0,21.0,19.0,Pass,Medium Risk
STU39990,Luqman Lodhi,83.0,16.0,11.0,19.0,23.0,Pass,Low Risk
STU67166,Umair Waheed,80.0,16.0,17.0,24.0,28.0,Pass,Low Risk
STU62234,Rizwan Hussain,59.0,14.0,15.0,21.0,19.0,Pass,Medium Risk
STU35103,Ahmed Ghori,69.0,16.0,19.0,20.0,27.0,Pass,Low Risk
STU68563,Nida Pervez,45.0,8.0,5.0,10.0,9.0,Fail,High Risk
STU76845,Zubair Effendi,67.0,15.0,10.0,22.0,22.0,Pass,Medium Risk
STU07024,Ibrahim Durrani,65.0,15.0,16.0,18.0,25.0,Pass,Low Risk
STU45022,Jawad Butt,50.0,14.0,7.0,21.0,11.0,Pass,Medium Risk
STU31150,Maria Siddiqui,43.0,15.0,9.0,12.0,22.0,Fail,Medium Risk
STU02314,Quratulain Effendi,75.0,15.0,13.0,22.0,26.0,Pass,Low Risk
STU98765,Saba Saeed,96.0,20.0,19.0,28.0,22.0,Pass,Low Risk
STU62078,Komal Warraich,55.0,18.0,14.0,25.0,20.0,Pass,Low Risk
STU-99294,Sana Yousafzai,63.0,14.0,11.0,20.0,15.0,Fail,Medium Risk
STU93471,Uzma Farooq,64.0,10.0,9.0,21.0,22.0,Pass,Medium Risk
STU16486,Zara Niazi,54.0,10.0,12.0,18.0,19.0,Fail,Medium Risk
STU34774,Gulnaz Kiani,81.0,15.0,20.0,26.0,30.0,Pass,Low Risk
STU66805,Sami Yousaf,73.0,13.0,18.0,24.0,18.0,Pass,Low Risk
STU31197,Waqar Chaudhry,100.0,20.0,20.0,30.0,21.0,Pass,Low Risk
STU07988,Shahzad Soomro,69.0,16.0,20.0,27.0,21.0,Pass,Low Risk
STU34411,Sobia Pervez,75.0,20.0,16.0,30.0,30.0,Pass,Low Risk
STU30276,Iqra Saeed,47.0,8.0,11.0,8.0,11.0,Fail,High Risk
STU17875,Areeba Nawaz,60.0,17.0,17.0,22.0,28.0,Pass,Low Risk
STU90685,Hina Yousaf,79.0,20.0,20.0,21.0,27.0,Pass,Low Risk
STU12551,Ghulam Sabir,85.0,20.0,19.0,23.0,30.0,Pass,Low Risk
STU68804,Fajar Iqbal,67.0,16.0,14.0,23.0,24.0,Pass,Low Risk
STU40568,Kiran Rashid,81.0,19.0,15.0,25.0,30.0,Pass,Low Risk
STU38974,Ehsan Leghari,67.0,14.0,15.0,23.0,19.0,Pass,Low Risk
STU16124,Alishba Khan,47.0,15.0,14.0,10.0,27.0,Pass,Medium Risk
STU39460,Mishal Chandio,97.0,14.0,11.0,22.0,22.0,Pass,Low Risk
STU41007,Huma Karim,57.0,7.0,7.0,14.0,8.0,Fail,High Risk
STU75234,Quratulain Yousafzai,56.0,9.0,11.0,19.0,18.0,Pass,Medium Risk
STU12281,Anum Waheed,59.0,8.0,6.0,15.0,5.0,Fail,High Risk
STU38329,Hassan Hussain,100.0,14.0,15.0,23.0,24.0,Pass,Low Risk
STU34442,Rashid Khan,78.0,20.0,11.0,26.0,26.0,Pass,Low Risk
STU99064,Moiz Hashmi,62.0,17.0,18.0,25.0,24.0,Pass,Low Risk
STU83609,Talha Marwat,76.0,16.0,15.0,28.0,21.0,Pass,Low Risk
STU88580,Talha Sheikh,54.0,15.0,11.0,24.0,15.0,Pass,Medium Risk
STU32064,Unknown Student,76.0,15.0,13.0,18.0,16.0,Pass,Medium Risk
STU25370,Fiza Sheikh,90.0,15.0,13.0,10.0,19.0,Fail,Medium Risk
STU26192,Zeeshan Sabir,60.0,12.0,13.0,20.0,17.0,Pass,Medium Risk
STU82254,Momina Yousafzai,78.0,20.0,19.0,30.0,28.0,Pass,Low Risk
STU01752,Ehsan Hameed,56.0,6.0,12.0,18.0,5.0,Pass,High Risk
STU22110,Dua Ali,87.0,16.0,20.0,30.0,28.0,Fail,Low Risk
STU13816,Fajar Orakzai,64.0,13.0,15.0,10.0,12.0,Fail,Medium Risk
STU37245,Adnan Javed,51.0,10.0,10.0,16.0,13.0,Fail,Medium Risk
STU81487,Zoya Yousafzai,89.0,15.0,15.0,29.0,20.0,Pass,Low Risk
STU41482,Mehak Leghari,88.0,10.0,15.0,16.0,14.0,Pass,Medium Risk
STU67236,Unknown Student,69.0,13.0,14.0,21.0,26.0,Pass,Low Risk
STU60274,Sobia Leghari,54.0,14.0,8.0,17.0,16.0,Fail,Medium Risk
STU91733,Junaid Iqbal,85.0,15.0,10.0,17.0,22.0,Pass,Medium Risk
STU20964,Unknown Student,64.0,8.0,16.0,13.0,17.0,Fail,Medium Risk
STU00180,Arslan Yousaf,66.0,13.0,14.0,15.0,17.0,Pass,Medium Risk
STU58158,Saad Pasha,88.0,18.0,19.0,26.0,22.0,Pass,Low Risk
STU90688,Zainab Chaudhry,87.0,4.0,2.0,9.0,10.0,Fail,High Risk
STU11304,Anum Yousaf,76.0,20.0,17.0,22.0,30.0,Pass,Low Risk
STU52073,Wasi Junejo,81.0,13.0,18.0,23.0,25.0,Pass,Low Risk
STU79520,Palwasha Farooq,80.0,16.0,16.0,24.0,18.0,Pass,Low Risk
STU14708,Iram Lodhi,79.0,9.0,15.0,19.0,21.0,Pass,Medium Risk
STU86424,Shoaib Siddiqui,72.0,7.0,11.0,16.0,16.0,Fail,Medium Risk
STU63687,Javeria Marwat,65.0,13.0,13.0,14.0,16.0,Pass,Medium Risk
STU14192,Hamza Junejo,82.0,18.0,19.0,30.0,30.0,Pass,Low Risk
STU91438,Bisma Karim,82.0,13.0,17.0,21.0,30.0,Pass,Low Risk
STU98438,Mariam Pervez,50.0,20.0,19.0,27.0,27.0,Pass,Low Risk
STU51313,Fawad Ansari,66.0,15.0,13.0,19.0,20.0,Pass,Medium Risk
STU27078,Yousuf Junejo,86.0,13.0,13.0,22.0,23.0,Pass,Low Risk
STU43979,Kiran Ahmed,77.0,11.0,15.0,18.0,17.0,Pass,Medium Risk
STU86180,Anum Jafri,75.0,4.0,6.0,11.0,17.0,Fail,High Risk
STU05376,Qasim Sheikh,77.0,19.0,14.0,25.0,24.0,Pass,Low Risk
STU01049,Ali Effendi,75.0,14.0,16.0,22.0,23.0,Pass,Low Risk
STU72941,Amal Pasha,85.0,10.0,7.0,22.0,7.0,Pass,Medium Risk
STU02948,Aiman Yousafzai,87.0,15.0,19.0,22.0,21.0,Pass,Low Risk
STU49646,Mariam Soomro,61.0,9.0,9.0,16.0,14.0,Fail,Medium Risk
STU24218,Ahmed Yousaf,58.0,18.0,14.0,30.0,22.0,Pass,Low Risk
STU39135,Farah Raza,91.0,15.0,9.0,19.0,12.0,Pass,Medium Risk
STU02789,Iram Khan,57.0,7.0,9.0,22.0,5.0,Pass,High Risk
STU02003,Luqman Abbasi,65.0,10.0,17.0,24.0,21.0,Pass,Medium Risk
STU30207,Kamran Ahmed,75.0,15.0,13.0,22.0,25.0,Pass,Low Risk
STU93593,Rukhsar Hameed,93.0,8.0,9.0,9.0,2.0,Fail,High Risk
STU89706,Yasir Sheikh,64.0,13.0,14.0,14.0,22.0,Pass,Medium Risk
STU94602,Zeeshan Qureshi,47.0,20.0,20.0,30.0,26.0,Pass,Low Risk
STU96520,Ali Tanveer,91.0,14.0,20.0,21.0,25.0,Pass,Low Risk
STU34834,Iqra Gill,60.0,10.0,9.0,13.0,11.0,Pass,High Risk
STU91812,Sana Effendi,65.0,5.0,12.0,17.0,16.0,Fail,Medium Risk
STU79832,Iram Saeed,74.0,12.0,13.0,18.0,18.0,Pass,Medium Risk
STU24400,Owais Hashmi,86.0,14.0,11.0,21.0,29.0,Pass,Low Risk
STU67662,Hamid Baig,63.0,15.0,9.0,16.0,25.0,Pass,Medium Risk
STU53761,Sami Khan,76.0,11.0,10.0,21.0,20.0,Pass,Medium Risk
STU99904,Sundas Gill,63.0,15.0,14.0,19.0,22.0,Pass,Medium Risk
STU29908,Saba Dar,85.0,15.0,14.0,28.0,30.0,Pass,Low Risk
STU03194,Danish Khan,100.0,19.0,20.0,29.0,24.0,Pass,Low Risk
STU39499,Sobia Talpur,75.0,13.0,12.0,23.0,25.0,Pass,Low Risk
STU62051,Ahmed Soomro,53.0,20.0,19.0,30.0,30.0,Pass,Low Risk
STU37022,Ehsan Bajwa,65.0,17.0,12.0,23.0,25.0,Pass,Low Risk
STU66302,Kinza Effendi,65.0,14.0,14.0,16.0,21.0,Pass,Medium Risk
STU88751,Mohsin Bajwa,81.0,20.0,20.0,29.0,23.0,Pass,Low Risk
STU00703,Maria Farooq,72.0,11.0,14.0,22.0,21.0,Pass,Medium Risk
STU56544,Fatima Bajwa,53.0,5.0,3.0,12.0,9.0,Fail,High Risk
STU86650,Basit Effendi,100.0,19.0,15.0,30.0,30.0,Pass,Low Risk
STU05006,Yumna Sheikh,97.0,17.0,20.0,18.0,26.0,Pass,Low Risk
STU95980,Mohsin Chaudhry,95.0,20.0,18.0,30.0,30.0,Pass,Low Risk
STU-66074,Saad Javed,71.0,13.0,15.0,20.0,23.0,Pass,Low Risk
STU13516,Amber Bhatti,54.0,4.0,9.0,6.0,10.0,Fail,High Risk
STU32283,Aiman Pervez,68.0,12.0,10.0,17.0,20.0,Fail,Medium Risk
STU54318,Faisal Karim,69.0,12.0,13.0,24.0,19.0,Pass,Medium Risk
STU24617,Zeeshan Qazi,78.0,14.0,11.0,16.0,17.0,Fail,Medium Risk
STU96506,Javeria Pervez,87.0,20.0,18.0,28.0,29.0,Pass,Low Risk
STU58824,Basit Yousaf,49.0,1.0,8.0,8.0,15.0,Fail,High Risk
STU96133,Asad Hameed,69.0,20.0,20.0,29.0,25.0,Pass,Low Risk
STU74891,Mehak Talpur,84.0,19.0,17.0,23.0,23.0,Pass,Low Risk
